Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.396029	-1.396029
1	0.950747	750	-1.392838	-2.788866
2	0.926679	750	-1.354450	-4.143317
3	0.902980	750	-1.367990	-5.511307
4	0.879648	750	-1.309638	-6.820945
5	0.856682	750	-1.324734	-8.145679
6	0.834079	750	-1.280854	-9.426533
7	0.811838	750	-1.285662	-10.712195
8	0.789957	750	-1.253181	-11.965376
9	0.768433	750	-1.237250	-13.202626
10	0.747266	750	-1.226001	-14.428626
11	0.726452	750	-1.201939	-15.630566
12	0.705989	750	-1.207906	-16.838471
13	0.685877	750	-1.180518	-18.018989
14	0.666112	750	-1.142375	-19.161364
15	0.646693	750	-1.119102	-20.280466
16	0.627618	750	-1.100313	-21.380779
17	0.608884	750	-1.089846	-22.470625
18	0.590490	750	-1.053643	-23.524268
19	0.572433	750	-1.053687	-24.577955
20	0.554712	750	-1.053494	-25.631449
21	0.537324	750	-1.016862	-26.648311
22	0.520268	750	-0.990210	-27.638522
23	0.503540	750	-0.993936	-28.632457
24	0.487139	750	-0.974141	-29.606598
25	0.471063	750	-0.961189	-30.567787
26	0.455310	750	-0.930573	-31.498360
27	0.439877	750	-0.930260	-32.428620
28	0.424762	750	-0.887833	-33.316453
29	0.409963	750	-0.876590	-34.193043
30	0.395478	750	-0.864829	-35.057872
31	0.381305	750	-0.852649	-35.910521
32	0.367440	750	-0.822723	-36.733244
33	0.353883	750	-0.811881	-37.545125
34	0.340630	750	-0.786388	-38.331513
35	0.327680	750	-0.774920	-39.106433
36	0.315030	750	-0.760354	-39.866787
37	0.302677	750	-0.761385	-40.628172
38	0.290619	750	-0.738604	-41.366775
39	0.278855	750	-0.722942	-42.089717
40	0.267381	750	-0.706647	-42.796364
41	0.256195	750	-0.685927	-43.482291
42	0.245294	750	-0.669962	-44.152253
43	0.234677	750	-0.655167	-44.807421
44	0.224340	750	-0.645371	-45.452791
45	0.214281	750	-0.628206	-46.080998
46	0.204498	750	-0.599137	-46.680135
47	0.194988	750	-0.616586	-47.296720
48	0.185749	750	-0.584905	-47.881625
49	0.176777	750	-0.566686	-48.448312
50	0.168070	750	-0.560491	-49.008803
51	0.159626	750	-0.536731	-49.545534
52	0.151441	750	-0.531398	-50.076931
53	0.143514	750	-0.510486	-50.587417
54	0.135841	750	-0.492433	-51.079850
55	0.128420	750	-0.484749	-51.564600
56	0.121247	750	-0.476109	-52.040709
57	0.114320	750	-0.455797	-52.496506
58	0.107637	750	-0.448363	-52.944869
59	0.101193	750	-0.420203	-53.365072
60	0.094986	750	-0.404295	-53.769367
61	0.089014	750	-0.399677	-54.169044
62	0.083273	750	-0.379585	-54.548629
63	0.077760	750	-0.375836	-54.924466
64	0.072472	750	-0.362626	-55.287092
65	0.067406	750	-0.355222	-55.642314
66	0.062558	750	-0.345308	-55.987622
67	0.057926	750	-0.350299	-56.337921
68	0.053506	750	-0.317953	-56.655874
69	0.049295	750	-0.308919	-56.964793
70	0.045289	750	-0.285754	-57.250547
71	0.041485	750	-0.287546	-57.538093
72	0.037880	750	-0.269726	-57.807819
73	0.034469	750	-0.245344	-58.053163
74	0.031250	750	-0.236318	-58.289481
75	0.028218	750	-0.222463	-58.511944
76	0.025370	750	-0.215536	-58.727480
77	0.022702	750	-0.210217	-58.937697
78	0.020209	750	-0.193305	-59.131002
79	0.017889	750	-0.179244	-59.310246
80	0.015736	750	-0.161777	-59.472024
81	0.013746	750	-0.155463	-59.627487
82	0.011916	750	-0.140195	-59.767683
83	0.010240	750	-0.130713	-59.898396
84	0.008714	750	-0.116894	-60.015290
85	0.007334	750	-0.118458	-60.133748
86	0.006093	750	-0.096062	-60.229810
87	0.004988	750	-0.083859	-60.313669
88	0.004013	750	-0.079146	-60.392815
89	0.003162	750	-0.069006	-60.461821
90	0.002430	750	-0.054160	-60.515982
91	0.001810	750	-0.048398	-60.564380
92	0.001296	750	-0.040480	-60.604860
93	0.000882	750	-0.032897	-60.637757
94	0.000559	750	-0.027678	-60.665434
95	0.000320	750	-0.020523	-60.685957
96	0.000156	750	-0.013964	-60.699921
97	0.000057	750	-0.008595	-60.708516
98	0.000010	750	-0.003663	-60.712179
99	0.000000	750	-0.000818	-60.712997
Log marginal likelihood:	-60.712997
