Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.409082	-1.409082
1	0.950747	750	-1.396928	-2.806010
2	0.926679	750	-1.369349	-4.175359
3	0.902980	750	-1.352938	-5.528297
4	0.879648	750	-1.325042	-6.853340
5	0.856682	750	-1.291089	-8.144429
6	0.834079	750	-1.304021	-9.448450
7	0.811838	750	-1.274972	-10.723422
8	0.789957	750	-1.242923	-11.966345
9	0.768433	750	-1.226593	-13.192937
10	0.747266	750	-1.221281	-14.414219
11	0.726452	750	-1.201232	-15.615451
12	0.705989	750	-1.181198	-16.796649
13	0.685877	750	-1.156488	-17.953136
14	0.666112	750	-1.146493	-19.099629
15	0.646693	750	-1.115235	-20.214865
16	0.627618	750	-1.092733	-21.307598
17	0.608884	750	-1.070732	-22.378330
18	0.590490	750	-1.059326	-23.437657
19	0.572433	750	-1.042806	-24.480463
20	0.554712	750	-1.024522	-25.504985
21	0.537324	750	-1.026255	-26.531241
22	0.520268	750	-1.008102	-27.539343
23	0.503540	750	-0.994432	-28.533776
24	0.487139	750	-0.990680	-29.524455
25	0.471063	750	-0.947359	-30.471814
26	0.455310	750	-0.923275	-31.395090
27	0.439877	750	-0.908082	-32.303172
28	0.424762	750	-0.887655	-33.190827
29	0.409963	750	-0.885731	-34.076558
30	0.395478	750	-0.856261	-34.932819
31	0.381305	750	-0.862513	-35.795332
32	0.367440	750	-0.851745	-36.647077
33	0.353883	750	-0.822697	-37.469774
34	0.340630	750	-0.800063	-38.269837
35	0.327680	750	-0.778916	-39.048752
36	0.315030	750	-0.756988	-39.805741
37	0.302677	750	-0.768784	-40.574525
38	0.290619	750	-0.753147	-41.327672
39	0.278855	750	-0.716360	-42.044032
40	0.267381	750	-0.689847	-42.733879
41	0.256195	750	-0.698775	-43.432654
42	0.245294	750	-0.685738	-44.118392
43	0.234677	750	-0.669866	-44.788257
44	0.224340	750	-0.645203	-45.433460
45	0.214281	750	-0.626372	-46.059832
46	0.204498	750	-0.624688	-46.684520
47	0.194988	750	-0.599599	-47.284119
48	0.185749	750	-0.582850	-47.866969
49	0.176777	750	-0.573859	-48.440828
50	0.168070	750	-0.555541	-48.996370
51	0.159626	750	-0.536674	-49.533044
52	0.151441	750	-0.525757	-50.058801
53	0.143514	750	-0.506386	-50.565187
54	0.135841	750	-0.500620	-51.065806
55	0.128420	750	-0.496800	-51.562606
56	0.121247	750	-0.472893	-52.035500
57	0.114320	750	-0.445865	-52.481364
58	0.107637	750	-0.451842	-52.933207
59	0.101193	750	-0.444610	-53.377817
60	0.094986	750	-0.421751	-53.799567
61	0.089014	750	-0.411116	-54.210684
62	0.083273	750	-0.403961	-54.614645
63	0.077760	750	-0.369480	-54.984125
64	0.072472	750	-0.354450	-55.338575
65	0.067406	750	-0.352675	-55.691250
66	0.062558	750	-0.356263	-56.047513
67	0.057926	750	-0.320010	-56.367524
68	0.053506	750	-0.314415	-56.681939
69	0.049295	750	-0.300183	-56.982122
70	0.045289	750	-0.280033	-57.262155
71	0.041485	750	-0.268887	-57.531042
72	0.037880	750	-0.271934	-57.802976
73	0.034469	750	-0.242275	-58.045251
74	0.031250	750	-0.246237	-58.291488
75	0.028218	750	-0.227503	-58.518991
76	0.025370	750	-0.203544	-58.722536
77	0.022702	750	-0.210153	-58.932689
78	0.020209	750	-0.184510	-59.117199
79	0.017889	750	-0.182436	-59.299635
80	0.015736	750	-0.165467	-59.465102
81	0.013746	750	-0.155240	-59.620342
82	0.011916	750	-0.135188	-59.755530
83	0.010240	750	-0.125497	-59.881027
84	0.008714	750	-0.117004	-59.998031
85	0.007334	750	-0.105372	-60.103403
86	0.006093	750	-0.093919	-60.197322
87	0.004988	750	-0.091412	-60.288734
88	0.004013	750	-0.082156	-60.370890
89	0.003162	750	-0.069692	-60.440582
90	0.002430	750	-0.061253	-60.501835
91	0.001810	750	-0.052601	-60.554436
92	0.001296	750	-0.042685	-60.597121
93	0.000882	750	-0.031098	-60.628219
94	0.000559	750	-0.026686	-60.654905
95	0.000320	750	-0.019661	-60.674566
96	0.000156	750	-0.012772	-60.687338
97	0.000057	750	-0.008010	-60.695348
98	0.000010	750	-0.003951	-60.699299
99	0.000000	750	-0.000861	-60.700160
Log marginal likelihood:	-60.700160
